date,high,low,place,weather,wind,wind_level
2011-01-01,16,7,漳平,多云,无持续风向,1
2011-02-01,16,6,漳平,多云,无持续风向,1
2011-01-01,16,7,漳州,多云,无持续风向,1
2011-02-01,17,8,漳州,阴~多云,无持续风向,1
2011-01-01,12,-2,柘荣,多云,无持续风向,1
2011-02-01,7,1,柘荣,阴~阵雨,无持续风向,1
2014-08-01,26,36,延平,多云~阴,东北1-2级,东北1
2014-09-01,24,32,延平,阵雨,东北偏东1-2级,东北偏东1
2011-01-01,11,4,尤溪,多云,无持续风向,1
2011-01-01,16,5,永定,多云,无持续风向,1
2011-01-01,16,7,云霄,多云,无持续风向,1
2011-02-01,18,10,云霄,多云,无持续风向,1
2011-01-01,13,4,永泰,多云,无持续风向,1
2011-02-01,12,4,永泰,阵雨~阴,无持续风向,1
,,,芗城,,,
2011-01-01,13,6,秀屿港,多云,东北风,5
2011-02-01,12,8,秀屿港,小雨~阴,东北风,4
2012-04-01,21,20,秀屿,阵雨转中雨,微风,2
2012-05-01,28,24,秀屿,阵雨转中雨,微风,2
2012-06-01,26,21,秀屿,多云,微风,2
2012-07-01,34,26,秀屿,多云,微风,2
2012-08-01,32,27,秀屿,多云转阵雨,东北风,4
2012-09-01,32,26,秀屿,多云,微风,2
2012-10-01,27,20,秀屿,多云,微风,2
2012-11-01,23,16,秀屿,多云,东北风,3
2012-12-01,17,14,秀屿,小雨转中雨,东北风,3
2013-01-01,12,4,秀屿,晴转多云,微风,2
2013-02-01,24,13,秀屿,多云,微风,2
2013-03-01,24,15,秀屿,阴,微风,2
2013-04-01,20,16,秀屿,阵雨,微风,2
2013-05-01,21,14,秀屿,阴转多云,东北风,3
2013-06-01,33,25,秀屿,多云,微风,2
2013-07-01,34,27,秀屿,多云,微风,2
2013-08-01,36,26,秀屿,多云,微风,2
2013-09-01,32,24,秀屿,阴转多云,微风,2
2013-10-01,31,25,秀屿,阴转多云,微风,2
2013-11-01,26,21,秀屿,阴转阵雨,东北风,3
2014-01-01,17,8,秀屿,晴转多云,微风,2
2013-12-01,19,11,秀屿,晴转多云,微风,2
2014-02-01,24,14,秀屿,多云,微风,2
2014-03-01,23,13,秀屿,小雨转阵雨,微风,2
2014-04-01,20,14,秀屿,小雨转阴,微风,2
2014-05-01,22,17,秀屿,阵雨,微风,2
2014-06-01,31,22,秀屿,阴转多云,微风,2
2014-07-01,34,27,秀屿,多云,南风,1
